DATE	CPIAUCSL	MEDCPIM158SFRBCLE	PCEPI	PCEPILFE	PCETRIM12M159SFRBDAL	TRMMEANCPIM158SFRBCLE
1987-07-01	113.800	4.18781448084542000	55.919	57.589	3.59	3.61659937103616000
1987-08-01	114.300	3.31302760254406040	56.140	57.783	3.74	4.92959244320301000
1987-09-01	114.700	5.22758140088220000	56.329	58.012	3.71	4.34915964080897060
1987-10-01	115.000	3.78495509165797000	56.508	58.260	3.73	3.93690104988391050
1987-11-01	115.400	3.32526844011021040	56.616	58.382	3.72	3.43574466044187950
1987-12-01	115.600	2.84011303455471000	56.720	58.505	3.63	1.79540703879326010
1988-01-01	116.000	3.31859138737620000	56.941	58.781	3.62	3.77663693389265000
1988-02-01	116.200	2.90883516980707000	57.024	58.902	3.58	3.27248115232497040
1988-03-01	116.500	4.41918005237509000	57.221	59.154	3.56	3.68356419519944020
1988-04-01	117.200	4.73749799282637000	57.499	59.441	3.51	5.31399589967021000
1988-05-01	117.500	3.41359123842682000	57.666	59.644	3.49	3.29102205067142030
1988-06-01	118.000	4.67303747445387000	57.912	59.896	3.59	4.71283595784917000
1988-07-01	118.500	4.57072671553373060	58.193	60.140	3.77	4.88821407037705050
1988-08-01	119.000	5.27348496252884000	58.366	60.289	3.71	4.91203661490336100
1988-09-01	119.500	5.00938206866559000	58.650	60.613	3.87	5.69211473582227000
1988-10-01	119.900	4.27269773492314000	58.841	60.843	3.82	4.70782906510683000
1988-11-01	120.300	2.95664547226016030	58.978	61.010	3.87	3.28854975460575000
1988-12-01	120.700	3.95007987430633000	59.162	61.212	4.01	3.68356419519944020
1989-01-01	121.200	4.68142177583140000	59.465	61.522	4.05	5.09399997200142000
1989-02-01	121.600	5.20947642461538000	59.663	61.678	4.15	4.75540311642684000
1989-03-01	122.200	5.03461040058517000	59.885	61.863	4.16	5.09776752177491000
1989-04-01	123.100	4.87906302071213000	60.284	62.070	4.16	4.73787371372484940
1989-05-01	123.700	5.38800927445155950	60.504	62.256	4.24	5.44619635597112100
1989-06-01	124.100	3.85500115848693970	60.637	62.420	4.13	3.64511653456505000
1989-07-01	124.500	5.81426024397749100	60.782	62.581	4.04	4.68655251054217000
1989-08-01	124.500	2.85587368409489970	60.789	62.669	3.95	2.87520795385685050
1989-09-01	124.800	3.47288290755019000	60.924	62.886	3.80	2.88875607559973000
1989-10-01	125.400	5.16912809772758000	61.162	63.114	3.94	6.05627968435205000
1989-11-01	125.900	4.16252376366020000	61.296	63.282	3.92	5.07767379423789000
1989-12-01	126.300	3.77018137589580000	61.473	63.462	3.94	4.64776404991458000
1990-01-01	127.500	5.21613993478621900	61.939	63.706	3.85	5.91199399490903050
1990-02-01	128.000	4.98165039308320100	62.212	64.016	3.82	4.47900001668390950
1990-03-01	128.600	5.25046788038710000	62.446	64.323	3.95	5.12791471739720100
1990-04-01	128.900	5.31437382228312050	62.577	64.515	3.90	3.95306410161054030
1990-05-01	129.100	3.96649380723343950	62.718	64.712	3.80	3.04159562242827000
1990-06-01	129.900	5.62799931070790000	62.995	64.963	3.94	6.55761209811907100
1990-07-01	130.500	5.30267168754286000	63.151	65.128	3.96	5.82475020186575100
1990-08-01	131.600	5.66560606341413000	63.571	65.398	4.14	6.39364707988229950
1990-09-01	132.500	2.81672270806545950	63.961	65.627	4.13	4.11606833063138000
1990-10-01	133.400	4.55335048443913950	64.327	65.850	4.01	4.35914219763360040
1990-11-01	133.700	3.61399611524087000	64.409	65.929	3.89	4.29177721401581000
1990-12-01	134.200	5.05582611888307000	64.469	66.021	3.84	4.28055383486986950
1991-01-01	134.700	5.56278448626730000	64.714	66.350	3.82	7.20044057776987000
1991-02-01	134.800	4.35502417539060000	64.747	66.533	3.72	3.80146912706327000
1991-03-01	134.800	3.65528536937658000	64.760	66.672	3.43	2.54931061597194000
1991-04-01	135.100	3.37276123638892000	64.878	66.805	3.35	3.43203147402122030
1991-05-01	135.600	4.46850763239142000	65.147	67.072	3.45	4.19329699604554000
1991-06-01	136.000	2.90193641246452000	65.257	67.216	3.23	2.80502932682681960
1991-07-01	136.200	4.44203031238106000	65.360	67.421	3.10	4.15592174168715000
1991-08-01	136.600	3.08983246488028000	65.511	67.606	2.91	3.63643683716413000
1991-09-01	137.000	4.06540007760270000	65.737	67.877	2.90	4.03267049317428000
1991-10-01	137.200	2.33535013604968980	65.860	68.026	2.83	2.24272837797285970
1991-11-01	137.800	4.29177716897127000	66.005	68.153	2.97	4.36787736238435000
1991-12-01	138.200	2.64599695624381000	66.170	68.321	3.00	3.84866556095402000
1992-01-01	138.300	1.73273035529145000	66.260	68.507	2.88	2.77180186727874030
1992-02-01	138.600	2.58885958946806000	66.428	68.693	2.90	2.18151278728569000
1992-03-01	139.100	3.78706590402491000	66.589	68.865	2.99	3.48155038616365030
1992-04-01	139.400	2.42829426223231960	66.769	69.091	2.94	2.78902969130912000
1992-05-01	139.700	2.80232154164044000	66.857	69.188	2.80	2.83703516008306970
1992-06-01	140.100	4.28890893910334000	66.976	69.242	2.80	3.87475610969692000
1992-07-01	140.500	1.77845400998218000	67.197	69.503	2.82	2.81733800556927030
1992-08-01	140.800	2.11727265581099020	67.287	69.567	2.75	2.40327251792452000
1992-09-01	141.100	1.86470958139750990	67.397	69.680	2.61	2.24640240788764970
1992-10-01	141.700	3.78383780857443000	67.635	69.948	2.64	3.98166613711179000
1992-11-01	142.100	3.27594189784477000	67.768	70.101	2.61	3.11685915772095030
1992-12-01	142.300	1.87801390592812000	67.886	70.231	2.50	2.31010425459341030
1993-01-01	142.800	3.44292384762574950	68.052	70.435	2.50	3.36892657298127000
1993-02-01	143.100	2.29662586946325980	68.154	70.570	2.51	2.94666286930934000
1993-03-01	143.300	1.70079593612731020	68.294	70.723	2.45	1.98707064047230000
1993-04-01	143.800	4.09652033621579000	68.475	70.929	2.52	4.14720254987073000
1993-05-01	144.200	2.97550405217233000	68.687	71.169	2.57	2.89614680596324050
1993-06-01	144.300	2.54857377980864000	68.711	71.237	2.53	2.41063127482837030
1993-07-01	144.500	1.68885336227953000	68.820	71.385	2.50	1.62112182709142000
1993-08-01	144.800	2.52892755090932000	68.938	71.518	2.49	3.12426490637996000
1993-09-01	145.000	2.33400191372162040	69.010	71.625	2.53	2.42289694687017000
1993-10-01	145.600	3.69981531304131030	69.227	71.744	2.49	3.44069576574901000
1993-11-01	146.000	3.63606471384181030	69.358	71.928	2.43	3.35532021556624000
1993-12-01	146.300	2.81770747074882970	69.374	71.960	2.40	2.98857143183806000
1994-01-01	146.300	2.71177185775588000	69.397	72.018	2.36	1.78808881542767000
1994-02-01	146.700	3.60581430131750000	69.558	72.173	2.35	3.15512715323287000
1994-03-01	147.100	2.17453638595826000	69.750	72.420	2.41	2.57264547204354030
1994-04-01	147.200	2.51468598068958030	69.832	72.528	2.31	1.90767935702421000
1994-05-01	147.500	2.90181334741006000	69.933	72.690	2.27	2.90969774225236000
1994-06-01	147.900	2.89479196421164970	70.104	72.851	2.34	3.23664435357045000
1994-07-01	148.400	2.06945308065785040	70.325	73.004	2.35	2.64636587699298000
1994-08-01	149.000	3.51870377191156970	70.486	73.086	2.34	3.56949962685633000
1994-09-01	149.300	3.74709367119364020	70.565	73.197	2.32	2.57878703255940000
1994-10-01	149.400	2.22031958593512000	70.684	73.369	2.26	1.71493366984994000
1994-11-01	149.800	4.39209057745666000	70.819	73.503	2.28	3.47783569244212960
1994-12-01	150.100	1.21608593151488000	70.865	73.528	2.25	0.79971635411906200
1995-01-01	150.500	4.18619483418634000	71.008	73.711	2.35	3.83996994997807970
1995-02-01	150.900	3.33763452075089040	71.134	73.831	2.29	3.17241387043127960
1995-03-01	151.200	3.26457127001425000	71.265	74.013	2.25	2.73243420881641040
1995-04-01	151.800	3.65850979935234000	71.453	74.184	2.31	3.16006594434597000
1995-05-01	152.100	3.55946257678258960	71.563	74.311	2.27	2.88752433451684000
1995-06-01	152.400	2.09953665851426000	71.633	74.375	2.19	2.04940182953357030
1995-07-01	152.600	3.03271532641816000	71.722	74.493	2.16	2.30765363171199040
1995-08-01	152.900	2.94234945083716000	71.877	74.671	2.21	3.16253542118343000
1995-09-01	153.100	3.26321195359760000	71.926	74.770	2.23	2.81733800556927030
1995-10-01	153.500	3.22700732941383000	72.113	74.952	2.32	3.34295222440779050
1995-11-01	153.700	2.66922899078137000	72.111	75.000	2.27	2.12889431212009000
1995-12-01	153.900	2.57964673888200040	72.249	75.105	2.31	2.61932921456479970
1996-01-01	154.700	3.77576772431056000	72.410	75.190	2.25	3.89961011308380000
1996-02-01	155.000	2.61896071161241030	72.524	75.288	2.25	2.77672383261167000
1996-03-01	155.500	3.11056477301864960	72.743	75.462	2.26	2.79764459601377000
1996-04-01	156.100	3.13327571333887980	72.961	75.565	2.22	2.59598490929387000
1996-05-01	156.400	2.93779005828414030	73.087	75.696	2.25	2.98980428177402000
1996-06-01	156.700	2.51124866161314000	73.086	75.754	2.29	2.28682443992863000
1996-07-01	157.000	3.19637246322710040	73.241	75.897	2.32	3.03172894265187000
1996-08-01	157.200	2.32150099122970000	73.310	75.962	2.31	2.32480997794542000
1996-09-01	157.700	3.13018982525812000	73.517	76.192	2.36	3.16006594434597000
1996-10-01	158.200	2.88198180317933030	73.740	76.373	2.34	3.13784337854556970
1996-11-01	158.700	3.49653411864964970	73.871	76.473	2.39	3.21811269058916000
1996-12-01	159.100	2.20024121572453000	73.956	76.503	2.38	2.24885182839818040
1997-01-01	159.400	3.02617905351408020	74.052	76.584	2.35	2.74473520639524040
1997-02-01	159.700	2.34294951187677000	74.208	76.741	2.36	2.31623140386805000
1997-03-01	159.800	2.95319457160124000	74.286	76.925	2.31	1.52860610960276990
1997-04-01	159.900	2.98770834996940000	74.359	77.075	2.31	1.97973978732586000
1997-05-01	159.900	2.63567345485551000	74.324	77.131	2.22	2.04817930262642000
1997-06-01	160.200	2.49848264690866000	74.420	77.245	2.22	2.51984224973099020
