date,mcpi_monthly_chg,mcpi_ann_monthly_chg
7/1/2015,.0016312699,1.975182641101243
8/1/2015,.0012068822,1.457910723315055
9/1/2015,.0024891491,3.028212824551245
10/1/2015,.0019630466,2.381256538705084
11/1/2015,.0019373703,2.349777479453844
12/1/2015,.0014127922,1.708586413657238
1/1/2016,.001921742,2.330621612434511
2/1/2016,.0018488434,2.241311976949775
3/1/2016,.0021056999,2.556310418819076
4/1/2016,.0027353822,3.332294955209716
5/1/2016,.002566068,3.123114497522961
6/1/2016,.0017430576,2.111838567616835
7/1/2016,.0022440662,2.726365832144617
8/1/2016,.0021279936,2.583692515474035
9/1/2016,.0017181935,2.081428703988461
10/1/2016,.001792045,2.171776481380665
11/1/2016,.0020825511,2.527885323646545
12/1/2016,.0015300398,1.851577604277431
1/1/2017,.0028656519,3.493502237056777
2/1/2017,.0020557805,2.495021764128981
3/1/2017,.0015792241,1.911615976625317
4/1/2017,.0012868581,1.555206376835771
5/1/2017,.0017784287,2.155113190007248
6/1/2017,.00090717507,1.094058119739868
7/1/2017,.0018623112,2.257806215493449
8/1/2017,.0021356861,2.593142296565563
9/1/2017,.0021888409,2.658461667830546
10/1/2017,.002519778,3.06599280279395
11/1/2017,.0019436227,2.357442116656351
12/1/2017,.002496605,3.037408373313809
1/1/2018,.0033960084,4.152195303719223
2/1/2018,.0015398045,1.863494592895353
3/1/2018,.0025020363,3.04410730009289
4/1/2018,.0024111087,2.932009224218587
5/1/2018,.0023149,2.813522225135879
6/1/2018,.0023412548,2.845967377166564
7/1/2018,.0022412746,2.722932290287165
8/1/2018,.0014415223,1.743607547308741
9/1/2018,.0018860638,2.286902597932825
